Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Belize,Latin America and Caribbean,2017,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,2.631955624,2698,21.081,3.125172344,0,,,,,,,,,
Japan,Eastern Asia,2017,51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553,2697,7.608,0.107249885,0.003116156,,,,,,,,,
Lithuania,Central and Eastern Europe,2017,52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,2.228440523,3419,10.399,0.092226381,0,,,,,,,,,
Algeria,Middle East and Northern Africa,2017,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,2.567603827,3349,24.846,0.549122829,0.333632373,,,,,,,,,
Latvia,Central and Eastern Europe,2017,54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205,3169,10.638,0.06157465,0,,,,,,,,,
South Korea,Eastern Asia,2017,55,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669,1.880378008,3369,7.635,0.176924354,0,,,,,,,,,
Moldova,Central and Eastern Europe,2017,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,2.807808399,2395,10.274,0.235166655,0,,,,,,,,,
Romania,Central and Eastern Europe,2017,57,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,2.176831484,3525,9.749,0.234004128,0,,,,,,,,,
Bolivia,Latin America and Caribbean,2017,58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,2.443279028,2354,22.076,3.310481222,0,,,,,,,,,
Turkmenistan,Central and Eastern Europe,2017,59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,1.832909822,2871,24.615,0.893982292,0,,,,,,,,,
Kazakhstan,Central and Eastern Europe,2017,60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886,1.784892559,3196,21.555,0.232434129,0,,,,,,,,,
Singapore,Southeastern Asia,2015,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,,9.122,0.038932522,0,,,,,,,,,
Slovenia,Central and Eastern Europe,2017,62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979,1.313317299,3195,9.848,0.027886024,0,,,,,,,,,
Peru,Latin America and Caribbean,2017,63,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,2.20726943,2769,18.134,2.173947884,0,,,,,,,,,
Mauritius,Sub-Saharan Africa,2017,64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,1.697583914,3127,10.268,0.408082877,0,,,,,,,,,
Cyprus,Western Europe,2017,65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,0.041237976,1.621249199,2616,10.668,0.06183234,0,,,,,,,,,
Estonia,Central and Eastern Europe,2017,66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,1.357508659,3245,10.384,0.036192309,0,,,,,,,,,
Belarus,Central and Eastern Europe,2017,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,1.723232985,3289,11.955,0.036245582,0,,,,,,,,,
Singapore,Southeastern Asia,2016,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,,8.979,0.0380734,0,,,,,,,,,
Turkey,Middle East and Northern Africa,2017,69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945,3540,16.264,0.446772251,3.686449019,,,,,,,,,
Paraguay,Latin America and Caribbean,2017,70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349,2740,20.787,1.8285398,0,,,,,,,,,
Hong Kong,Eastern Asia,2017,71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,0.554633141,3358,11.088,,,,,,,,,,,
Philippines,Southeastern Asia,2017,72,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893,1.972604752,2674,21.036,6.522217166,1.099829118,,,,,,,,,
Serbia,Central and Eastern Europe,2017,73,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.947084427,2805,9.524,0.155857975,0,,,,,,,,,
Jordan,Middle East and Northern Africa,2017,74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272,1.791176558,2714,22.622,0.365668974,0.328685925,,,,,,,,,
Hungary,Central and Eastern Europe,2017,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,1.716459274,3286,9.4,0.299438434,0,,,,,,,,,
Jamaica,Latin America and Caribbean,2017,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,1.612325668,2757,16.286,0.903955844,0,,,,,,,,,
Croatia,Central and Eastern Europe,2017,77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311,1.854492426,3083,8.994,0.120276789,0,,,,,,,,,
Singapore,Southeastern Asia,2017,26,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,1.216362,,8.845,0.033021047,0,,,,,,,,,
China,Eastern Asia,2017,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,1.764938593,3194,12.027,0.319902526,0,,,,,,,,,
Pakistan,Southern Asia,2017,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,2.79248929,2326,28.599,38.99008077,0.221198215,,,,,,,,,
Indonesia,Southeastern Asia,2017,81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,1.429476976,2892,18.422,33.15355358,0.009297472,,,,,,,,,
Venezuela,Latin America and Caribbean,2017,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.789463758,2247,18.232,2.529266332,0,,,,,,,,,
Montenegro,Central and Eastern Europe,2017,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,1.729191542,3481,11.775,0.053823211,0,,,,,,,,,
Morocco,Middle East and Northern Africa,2017,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183,2.456189394,3380,19.399,2.459613174,0.005635562,,,,,,,,,
Azerbaijan,Central and Eastern Europe,2017,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,1.762481689,3103,17.477,1.103615504,0,,,,,,,,,
Dominican Republic,Latin America and Caribbean,2017,86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516,2864,19.799,3.476119929,0,,,,,,,,,
Greece,Western Europe,2017,87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563,3355,7.922,0.003330186,0,,,,,,,,,
Lebanon,Middle East and Northern Africa,2017,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,1.695073843,2880,17.67,0.831259905,4.534785926,,,,,,,,,
Portugal,Western Europe,2017,89,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,1.107682705,3492,7.866,0.061215409,0,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,2017,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0,1.892172575,3269,8.293,0.106412248,0,,,,,,,,,
Honduras,Latin America and Caribbean,2017,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,2.065811157,2552,21.859,11.65274693,0,,,,,,,,,
Somalia,Sub-Saharan Africa,2016,76,5.44,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,,42.096,76.0728312,15.800493,,,,,,,,,
Somalia,Sub-Saharan Africa,2017,93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,0.282410324,3.11748457,,41.919,75.0955914,32.25631816,,,,,,,,,
Vietnam,Southeastern Asia,2017,94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,1.462318659,2938,16.979,2.025994949,0,,,,,,,,,
Nigeria,Sub-Saharan Africa,2017,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,2.365390539,2464,38.384,61.88861872,1.969062073,,,,,,,,,
Tajikistan,Central and Eastern Europe,2017,96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,1.84904933,2104,31.364,9.71533596,0,,,,,,,,,
Somaliland region,Sub-Saharan Africa,2015,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,2017,98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,1.536723137,2798,25.621,1.077542748,0,,,,,,,,,
Nepal,Southern Asia,2017,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,1.891241074,2866,20.196,52.70716879,0,,,,,,,,,
Mongolia,Eastern Asia,2017,100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,1.111292362,2371,24.833,0.613883451,0,,,,,,,,,
South Africa,Sub-Saharan Africa,2017,101,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,1.510908604,2994,20.908,22.29651648,0.116463456,,,,,,,,,
Tunisia,Middle East and Northern Africa,2017,102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,1.89025116,3467,18.01,0.717323393,0.218489776,,,,,,,,,
Somaliland Region,Sub-Saharan Africa,2016,97,5.057,0.25558,0.75862,0.33108,0.3913,0.36794,0.51479,2.43801,,,,,,,,,,,,,
Egypt,Middle East and Northern Africa,2017,104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,1.702161074,3321,27.05,3.340291129,1.232328388,,,,,,,,,
Bulgaria,Central and Eastern Europe,2017,105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,0.996139288,2828,8.99,0.145415478,0,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,2017,106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,2.668459892,2449,33.939,77.0898991,0,,,,,,,,,
Cameroon,Sub-Saharan Africa,2017,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,2.333645582,2653,35.9,51.80460496,1.606064923,,,,,,,,,
Iran,Middle East and Northern Africa,2017,108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,1.498734951,3119,19.011,0.717538947,0.114388474,,,,,,,,,
Albania,Central and Eastern Europe,2017,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,1.490441561,3400,11.934,0.15023816,0,,,,,,,,,
Bangladesh,Southern Asia,2017,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,1.978736162,2596,18.501,25.29027576,0.075805351,,,,,,,,,
Namibia,Sub-Saharan Africa,2017,111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,1.481890202,2431,29.105,35.57428954,0.042489862,,,,,,,,,
Kenya,Sub-Saharan Africa,2017,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,2124,29.296,62.7017347,0.809073886,,,,,,,,,
Mozambique,Sub-Saharan Africa,2017,113,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,2.355650902,2304,37.876,58.12883939,0.572659462,,,,,,,,,
Myanmar,Southeastern Asia,2017,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,1.115290403,2701,17.703,17.62103841,0.058717678,,,,,,,,,
Senegal,Sub-Saharan Africa,2017,115,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,1.789646149,2612,35.12,56.17009918,0,,,,,,,,,
Zambia,Sub-Saharan Africa,2017,116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,2013,36.699,63.4766141,0.005759013,,,,,,,,,
Iraq,Middle East and Northern Africa,2017,117,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,1.318907261,2506,29.693,0.884877333,76.75913333,,,,,,,,,
Gabon,Sub-Saharan Africa,2017,118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,1.322916269,2643,32.161,24.06171789,0,,,,,,,,,
Ethiopia,Sub-Saharan Africa,2017,119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,2.015743732,2304,32.775,72.98917295,1.03125932,,,,,,,,,
Sri Lanka,Southern Asia,2017,120,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,0.419389248,2613,16.106,2.65762851,0.004630393,,,,,,,,,
Armenia,Central and Eastern Europe,2017,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,1.521499157,3078,14.298,0.116675866,0,,,,,,,,,
India,Southern Asia,2017,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,1.519117117,2517,18.083,67.45850665,0.055484717,,,,,,,,,
Mauritania,Sub-Saharan Africa,2017,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,1.651637316,2842,34.132,45.53292235,0.051099645,,,,,,,,,
South Sudan,Sub-Saharan Africa,2016,143,3.832,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,,35.738,120.2594126,16.13164985,,,,,,,,,
Georgia,Central and Eastern Europe,2017,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,2872,13.718,0.235326819,0,,,,,,,,,
South Sudan,Sub-Saharan Africa,2017,147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,0.116793513,1.879567385,,35.37,118.4200432,42.50063128,,,,,,,,,
Mali,Sub-Saharan Africa,2017,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,1.668190956,2926,42.078,92.30465639,4.295505525,,,,,,,,,
Swaziland,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,,,,,,,,,,,,,
Cambodia,Southeastern Asia,2017,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,1.042941093,2472,22.889,13.78031977,0.006202557,,,,,,,,,
Sudan,Sub-Saharan Africa,2017,130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,0.08984752,1.68706584,2433,32.542,14.53403556,3.395806059,,,,,,,,,
Ghana,Sub-Saharan Africa,2017,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,1.577867508,3033,29.839,29.22594075,0.16222323,,,,,,,,,
Ukraine,Central and Eastern Europe,2017,132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,0.814382315,3035,9.799,0.104627301,1.069612467,,,,,,,,,
Uganda,Sub-Saharan Africa,2017,133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,1.526362658,2144,38.947,47.16222198,0.071650869,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,2017,134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,1.727212906,2720,38.419,66.90417479,0.468706373,,,,,,,,,
Niger,Sub-Saharan Africa,2017,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,1.873983383,2579,46.54,93.74372876,1.440871923,,,,,,,,,
Malawi,Sub-Saharan Africa,2017,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,2.081786156,2647,34.593,58.5240861,0.069803088,,,,,,,,,
Chad,Sub-Saharan Africa,2017,137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,2.071238041,2090,42.683,130.5002164,1.95111223,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,2017,138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,1.597970247,2173,31.732,37.09434733,0.03398181,,,,,,,,,
Lesotho,Sub-Saharan Africa,2017,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,1.42983532,2282,27.17,75.30076372,0.205383279,,,,,,,,,
Angola,Sub-Saharan Africa,2017,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,1.614482403,2270,41.281,83.06370499,0.198565374,,,,,,,,,
Afghanistan,Southern Asia,2017,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,2000,33.211,9.99376936,5.058627103,,,,,,,,,
Botswana,Sub-Saharan Africa,2017,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,2340,25.396,27.38410418,0,,,,,,,,,
Benin,Sub-Saharan Africa,2017,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,2756,36.621,65.34983529,0.112211156,,,,,,,,,
Madagascar,Sub-Saharan Africa,2017,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,1903,32.897,96.05428531,0.658782158,,,,,,,,,
Haiti,Latin America and Caribbean,2017,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.697167635,2164,24.75,25.85767602,0,,,,,,,,,
Yemen,Middle East and Northern Africa,2017,146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,1.345600605,2063,31.04,16.87941524,55.20992287,,,,,,,,,
Syria,Middle East and Northern Africa,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,,24.95,0.237059243,304.4732353,,,,,,,,,
Liberia,Sub-Saharan Africa,2017,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,2132,33.426,73.13720443,0.084698421,,,,,,,,,
Guinea,Sub-Saharan Africa,2017,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,1.552311897,2795,36.765,52.33682694,0.236886897,,,,,,,,,
Togo,Sub-Saharan Africa,2017,150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,1.837229252,2429,33.55,55.5531808,0.279402811,,,,,,,,,
Rwanda,Sub-Saharan Africa,2017,151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,2215,32.062,40.60419166,0.031861917,,,,,,,,,
Syria,Middle East and Northern Africa,2016,156,3.069,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,,24.525,0.230011336,308.409636,,,,,,,,,
Tanzania,Sub-Saharan Africa,2017,153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,0.621130466,2396,37.075,40.96301006,0.079669263,,,,,,,,,
Syria,Middle East and Northern Africa,2017,152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,0.151347131,1.061573505,,24.115,0.226668988,228.2163329,,,,,,,,,
Central African Republic,Sub-Saharan Africa,2017,155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,0.056565076,2.066004753,1758,35.66,150.3084792,40.64899695,,,,,,,,,
